alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,5.114788,178.235422,3.614407,0.821263,0.000100
0.200000,5.318246,163.730040,3.617688,0.805894,0.000066
0.400000,5.633298,157.330047,3.566115,0.742313,0.000203
0.600000,6.332826,157.804683,3.373155,0.610223,0.000070
0.800000,8.501088,138.377391,2.865474,0.446447,0.000188
1.000000,16.719000,101.768473,1.656426,0.270902,0.000192
1.200000,45.325354,59.374850,0.578443,0.095617,0.000050
1.400000,72.083552,41.532168,0.232504,0.033827,0.000050
1.600000,88.643019,34.763492,0.156474,0.009173,0.000189
1.800000,91.185081,33.737130,0.137470,0.005113,0.000035
2.000000,94.346885,32.754818,0.131826,0.006128,0.000034
2.200000,91.689999,33.869307,0.129487,0.006146,0.000031
2.400000,88.729467,33.737360,0.128301,0.006858,0.000037
2.600000,88.590408,34.089854,0.128412,0.006994,0.000039
2.800000,88.559918,34.150020,0.127593,0.007010,0.000040
3.000000,88.705259,33.825345,0.127373,0.007209,0.000035
