alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,32.925916,850.491222,32.514549,0.312925,6.096731
0.200000,35.925362,790.002422,32.391273,0.312781,5.891441
0.400000,34.806347,827.664081,31.189959,0.286116,5.179658
0.600000,38.299075,766.989488,28.689835,0.323025,3.977655
0.800000,39.051365,761.799367,22.407998,0.277418,2.398124
1.000000,52.633478,595.790294,12.713208,0.249948,0.881401
1.200000,66.719542,484.613122,4.994695,0.059898,0.185635
1.400000,76.167840,428.237259,2.253148,0.016805,0.038019
1.600000,80.089669,408.666665,1.573563,0.004889,0.014043
1.800000,83.441172,392.481220,1.385651,0.003000,0.000669
2.000000,76.937261,396.324710,1.328119,0.000916,0.000590
2.200000,83.186317,393.767287,1.303113,0.001693,0.000491
2.400000,83.848348,390.667204,1.290549,0.001352,0.000301
2.600000,80.951898,404.756645,1.282676,0.000602,0.000693
2.800000,76.147513,405.262738,1.283253,0.001502,0.000806
3.000000,80.963774,404.637789,1.277112,0.000619,0.000770
