alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,18.212713,1651.771345,55.872055,1.099746,10.450803
0.200000,19.854910,1524.343101,57.748185,1.118823,10.484387
0.400000,19.890643,1533.750855,57.659550,1.184290,10.441086
0.600000,19.093224,1622.136817,55.824395,1.050124,10.309866
0.800000,19.720250,1597.325088,53.500942,0.977882,9.398409
1.000000,25.087816,1277.085404,44.309052,0.634515,6.346296
1.200000,33.299491,956.393891,24.330271,0.273281,2.680565
1.400000,48.891671,667.067193,11.343769,0.074822,0.821926
1.600000,59.583006,548.893542,5.363065,0.028691,0.235382
1.800000,60.179377,498.903179,3.136053,0.014503,0.071658
2.000000,69.941786,468.289824,2.196560,0.007440,0.033327
2.200000,72.887248,449.448391,1.798779,0.003903,0.009947
2.400000,70.526286,431.336826,1.603980,0.004430,0.003572
2.600000,75.888083,431.465648,1.478738,0.003001,0.003099
2.800000,78.392051,417.966812,1.420362,0.002723,0.000828
3.000000,78.768787,415.844227,1.382053,0.002362,0.001419
