alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,21.662321,1364.677932,46.660757,0.911782,0.000968
0.200000,24.027135,1223.319521,48.476227,0.898877,0.000344
0.400000,23.616816,1270.926668,48.091870,0.896262,0.000861
0.600000,24.798572,1230.465567,48.374315,0.898537,0.000356
0.800000,25.528513,1223.078888,46.745873,0.732592,0.000820
1.000000,29.017570,1101.677297,37.346650,0.544527,0.000900
1.200000,37.530806,838.892969,21.108179,0.256037,0.000808
1.400000,54.124801,603.206169,10.566352,0.075954,0.000362
1.600000,61.823772,529.624501,5.103289,0.029717,0.000861
1.800000,64.249996,491.781738,3.069234,0.013947,0.000914
2.000000,70.928086,461.944660,2.251916,0.008027,0.000201
2.200000,73.260649,447.232369,1.812498,0.004516,0.000187
2.400000,74.914874,437.357757,1.604536,0.003471,0.000182
2.600000,76.281709,429.485587,1.487866,0.001801,0.000132
2.800000,76.239835,429.695715,1.418248,0.001567,0.000690
3.000000,77.487474,422.866062,1.378904,0.002296,0.000927
