alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,11.119701,234.155208,6.435500,0.740515,0.000180
0.200000,11.101832,249.824718,6.403888,0.680959,0.000203
0.400000,11.817225,244.601968,6.315308,0.646572,0.000166
0.600000,13.427052,234.235897,6.009607,0.588242,0.000189
0.800000,17.043833,218.158100,5.032937,0.540116,0.000232
1.000000,32.192126,145.139689,2.934729,0.414912,0.000211
1.200000,61.286746,93.469117,1.089428,0.171542,0.000105
1.400000,90.759526,70.874186,0.460469,0.065420,0.000053
1.600000,99.807942,65.298287,0.311492,0.014654,0.000047
1.800000,91.406803,67.066006,0.275120,0.008279,0.000096
2.000000,99.641374,65.679009,0.263092,0.009601,0.000037
2.200000,87.803200,66.794563,0.260180,0.010562,0.000111
2.400000,98.774045,66.059947,0.257334,0.009388,0.000143
2.600000,88.459433,67.744398,0.256410,0.011104,0.000105
2.800000,97.239775,67.307255,0.254926,0.010398,0.000093
3.000000,88.552346,66.903160,0.254278,0.011141,0.000102
